flower_name,city_name,predicted_flowering_date,predicted_full_bloom_date,predicted_end_bloom_date,predicted_flowering_doy,predicted_full_bloom_doy,predicted_end_bloom_doy,predicted_duration,model_mae_days,model_r2,sample_size
樱花,武汉,2026-02-03,2026-02-17,2026-03-17,34,48,76,32,1.8771428571428577,0.8974806086025343,21
油菜花,婺源,2026-02-28,2026-03-12,2026-09-02,59,71,245,183,2.462380952380952,0.8054594560430599,21
杜鹃花,毕节,2026-03-26,2026-03-31,2026-04-11,85,90,101,26,0.5509523809523813,0.8731072815533982,21
牡丹,洛阳,2026-03-30,2026-04-09,2026-06-09,89,99,160,70,1.8938095238095243,0.8278509725261366,21
杏花,吐鲁番,2026-04-07,2026-04-15,2026-07-04,97,105,185,91,1.2280952380952384,0.9474106169616706,21
